Énergie (kJ/100g),Énergie (kcal/100g),Matières grasses (g/100g),Graisses saturées (g/100g),Graisses insaturées (g/100g),Oméga 3 (g/100g),Sucres (g/100g),Sucres ajoutés (g/100g),Fibres totales (g/100g),Protéines (g/100g),Sel (g/100g),Cholestérol (mg/100g),Vitamine A (µg/100g),Vitamine C (mg/100g),Vitamine D (µg/100g),Calcium (mg/100g),Magnésium (mg/100g),Zinc (mg/100g),Manganèse (mg/100g),Caféine (mg/100g),Alcool (g/100g),Nutri-Score,Nom du Produit
5308.0,61.0,0.0,0.012,0.0,0.0,1.5,0.0,2.2,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e,Soja-Sauce
2401.0,324.0,12.0,10.5,0.0,0.0,9.0,0.0,36.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,Entrecôesteack - Highland Beef
1620.0,376.0,1.6,0.2,0.0,0.0,1.3,0.0,2.9,82.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,five grain granola
1522.0,363.0,11.0,2.0,0.0,0.0,0.98,0.0,9.0,22.0,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,Triple cheese puff
1522.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,granola Bio le Chocolaté
1510.0,358.0,2.0,0.5,0.0,0.0,1.7,0.0,10.714286,76.0,1.5,0.0,0.00023214286,0.07142857,0.0,0.17857143,0.11428572,0.021428572,0.0017857144,0.15,0.0,c,0
383.0,70.0,0.5,0.06,0.0,0.0,0.24,0.0,88.0,18.0,0.275,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,xytitol pastilles
1522.0,45.0,13.0,6.7,0.0,0.0,3.6,0.0,0.0,11.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,Powdered peanut butter
1926.0,460.0,24.0,6.0,0.0,0.0,31.0,0.0,1.4,6.4,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e,Madeleines ChocoLait
1522.0,389.0,16.7,6.48,0.0,0.0,1.85,0.0,18.5,37.0,0.88,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,Farandole de madeleine
1917.0,32.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,Fanta Orange
5308.0,900.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,e,Anthony's Organic Cocoa Butter Chunks
383.0,350.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,Multi Patents Collagen Peptides
383.0,126.0,6.1,0.6,0.0,0.0,0.5,0.0,3.0,22.4,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,Confiture de Grenade aux fruits secs Rihana
8690.0,857.0,100.0,14.3,0.0,0.0,18.6,0.0,0.0,101.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e,Butter Burst
1056.0,249.0,0.3,0.05,0.0,0.0,59.0,0.0,2.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,Fondants Citron
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,Organic Erythritol Granulated
1692.3333333333333,482.0,27.2,0.85,0.0,0.0,15.8,0.0,0.0,5.3,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,Pâte à tartiner chocolatée sans allergènes
383.0,145.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,Abricots
1692.3333333333333,214.2938,12.4293788888889,7.3446326,0.0,0.0,3.5593224,0.0,1.1299435,9.60452,1.3700565,0.036723163,0.0,0.0,0.0,0.10711865,0.0,0.0,0.0,0.0,0.0,d,0
5308.0,380.0,1.0,0.4,0.0,0.0,0.5,0.0,3.8,85.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e,Baharat
1692.3333333333333,63.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,Pur jus de pomme
766.0,183.0,0.0,0.0,0.0,0.0,0.1,0.0,81.9,5.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,Xanthan gum
1139.0,110.0,8.0,0.1,0.0,0.0,0.6,0.0,62.5,26.0,0.1,0.0,0.15,0.0105,0.0,0.06,0.039,0.0,0.0,0.0,0.0,c,Alimento
